Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0402_1005Metric",13.716000,7.569200,270.000000,top
"C2","0.1uF","C_0402_1005Metric",14.859000,7.569200,270.000000,top
"C3","4.7uF","C_0402_1005Metric",13.081000,9.601200,90.000000,top
"C4","0.1uF","C_0402_1005Metric",12.065000,9.601200,90.000000,top
"J1","TYPE-C-31-M-12","TYPE-C-31-M-12",7.493000,13.411200,270.000000,top
"R1","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",12.547600,5.435600,90.000000,top
"R2","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",11.430000,5.435600,90.000000,top
"R3","1k","R_0603_1608Metric",17.272000,7.696200,0.000000,top
"R4","22.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",14.351000,6.045200,180.000000,top
"R5","47.5k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",16.764000,6.045200,180.000000,top
"U1","CP2102N-A01-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",16.256000,11.252200,0.000000,top
